,Fecha Emisión,Fecha Publicación,Delitos-Modalidades,Juez,Sentido del Fallo,Descripción o Criterios Judiciales,Sentencia,real_url
2276,05/septiembre/2018,05/julio/2019, ,JUAN ROBERTO ORTIZ PINTOR(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEtW/248rYVYwvQOc0+YTypQ0e8pLXLzKbd0BWrFJHjnPUZEmyxoFmLuW45LzSCfnCqrhLPytnOByJE7vVBEC/cF04gRAyXVwWZezEZSbGqf3HLQPzz2w9oUtLrWO0guFKoUS6W1RLtGFyG5Sg3/W9CmGz+rKJxX5A/A7PL1jZWx6em3B5/i/hEdr9O+mpY+MwD0zp0ZSNyge5RAFpy6nZJg=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\36755-da5a81f4-c4f1-4f58-b588-0cc3369f3175.pdf
2277,04/septiembre/2018,30/julio/2019,ROBO CON VIOLENCIA,AÍDA ARACELI REYES REYES(Elabora),CONDENATORIO,CONDENA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx1DeN/zxkiuRhqNOY3Z9130IWZS4b9AmP6K6S+tCG6EVoC46Tdf8pEHcT/OM8ksjejIGQaPUB5VtHEQ7CArx+eshUaRzMi1LmC+GxxF6S7q8Hwxgft4r2KN1f7Vt1ePqgCzxKeKucy+34cAbKvp5eAfNUhRSXvH3c1WYsvqEwsfSF7a9hG8BDcCQb22AtnsnEk=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\60708-178e1413-e6d2-492e-98fd-68686ac19d2a.pdf
2278,04/septiembre/2018,25/julio/2019,ROBO CON VIOLENCIA,JAIME GARZA CASTAÑEDA(Elabora),ABSOLUTORIO,ABSOLUTORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEtW/248rYVYwvQOc0+YTypScCOZ6hRZvPbh+vSqE1fm69RdRw1mH4611OW+DwaS7LHHFPkkDBM1p4SCeQF2j5L8hdGn5EV3PaoirWDLUcVZAroGxmnYrhLAMxo8SzBnkVKvGgZ0nTG2zszKcuLei3c9iLrQkYaha/jXF4iSeBJMiZn7RMVjH9/oyG3D9j7EhRp/1WmLr9lq1xtMo2zaPJz8=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\36686-ecfb4638-3092-488a-8298-6882e3df6d31.pdf
2279,04/septiembre/2018,25/julio/2019,LESIONES DOLOSAS SIMPLE,"JORGE ANTONIO HERNÁNDEZ TORRES(Preside), MAGDA LISSETT CASTILLO BETANCOURT(Vocero), MANUEL HERNÁNDEZ CERVANTES(Elabora)",CONDENATORIO,CONDENA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEtW/248rYVYwvQOc0+YTypShPs4RWoWYmMMjsrRACSRUNv7DrBWWsgk6M5Qp+j2QZ/U0ll/X0qndjL2KFsbJR6G2+r0Z68rJD5Z9K4hmYinXaSxHLIwkSq2y9wOehKpqk7VqzVbj6japlens5Jt2OUgQsIUO0UegTdDQV5uWjjdvEUU9MAFlAYNA/syniN3eei44UvVCl4o/oOE2VBRRNoA=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\36690-79ea554c-3462-43ec-9aff-016928d10ba8.pdf
2280,04/septiembre/2018,05/julio/2019, ,JAIME GARZA CASTAÑEDA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA FÍSICA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEtW/248rYVYwvQOc0+YTypRs9SqPb3s5RbOZ2PaAcQjoaDvStkOxtvi5ii4aM7aZ3jj5Srm4oRxKHmB1GX6CQQpB9G1fswGT3123mW9fRnhNPYgoVTvX6LdH4LKkRGSIXIHhXTvBy2Nv3qsdHIWgZptqTicBTrztxTRuExiyNUtFYESsSMzSNQbUOCuTOyxQm10K0hakEdK7brRwnhNNxdc=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\36710-c225fb18-26e4-471b-bc1f-46e5af9dfe93.pdf
2281,04/septiembre/2018,06/julio/2019, ,SARA PATRICIA BAZALDÚA PIÑA(Elabora),CONDENATORIO,ROBO EJECUTADO CON VIOLENCIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEnXvePaFpPmHaMDnyyY0kx21v7NQQiPAKtTJzlTWVzDo4wAIubgPr1UG8NRNl9J5AIjeG73h39QIDwto8UNLG/lq35cWuPt7N3sWYVRilXCOWRSxyZekqkJ4HqsnN7eC975s/6RKgBdEqBeWbngo6mjoZxI+XgOGCZPXcqrBZJzSpg/uxIYLMtp5VLIp5bK44wu0gl5XzNhF3tghiztqES4=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\60620-13aafc59-c944-42f1-9fe0-977b242f1aea.pdf
2282,03/septiembre/2018,05/marzo/2019,"VIOLENCIA FAMILIAR, LESIONES A MENORES DE 12 AÑOS DE EDAD, VIOLENCIA FAMILIAR, LESIONES A MENORES DE 12 AÑOS DE EDAD","HERLINDO MENDOZA DÍAZ DE LEÓN(Elabora), MARÍA DEL ROSARIO GARZA ALEJANDRO(Preside), ADALBERTO TREJO MORALES(Vocero)",CONDENATORIO,NINGUNO,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEtW/248rYVYwvQOc0+YTypRXrUFeQhbGtYAKbmwot5NzT2DeR1dfCBKnDWJQ87seOYesuXH8BhGE17hkz/1j/xDh7MXjek0RPkjjH84ibSKm8u3J47cx2da/P4XLsGVfpQ+0AwU4Bv4AcrD82/LGom4oQ9CxNjdM6Z5l3yho2riOMDWU3vsx1yAAXt0E2AWN+yP+ToxADEoXAgiV/QGH/o8=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\36621-ac2f4202-8192-4ee5-97de-70a9dfa71616.pdf
2283,03/septiembre/2018,25/julio/2019,VIOLENCIA FAMILIAR EQUIPARADA,VERÓNICA CECILIA DÍAZ LANDEROS(Elabora),CONDENATORIO,SE DICTA SENTENCIA DE DE CONDENA - PROCEDIMIENTO ABREVIADO,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEtW/248rYVYwvQOc0+YTypTyjCBMXRt+BGiPh5tnhT9quSXVGkSPBCqLPCEf6Qoh2fTxXETy3Zl0vZ3O7BqiyJbpB8n9I3j1v99uKWSss8ACPHRArVE+iZttdf44DWDbovkn5U002wUTeg1K1W5l7aVNcIKzxpNKdyPvBrTR+mbq6OcyMWLVFLb+i3YkrLCzC05d5xOA717HBjF/+oWgmAQ=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\36621-0f8ce3c8-0276-4228-8304-eeb93a5b4973.pdf
2284,03/septiembre/2018,25/julio/2019,LESIONES CULPOSAS SIMPLE,JOSÉ LUIS PECINA ALCALÁ(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEtW/248rYVYwvQOc0+YTypRB2nqvlpQr+REe13Gg1/QTbEztz9gNeZZL/NsyeWRRlvZ8s8dPplkeurABfKmvjQM6ezH3pqCUCIa1Iem2DNPSi8bS0b+v/ZPmTYpecsnXJDAL/5/+XWVtDmy52S8hwwhPsAwETJqAqgPfnqPER49SA6L/AdpsRWvDdWn8aplveeRVVGt4Wj4HM3DNxC/ffD8=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\36633-2e75d4b5-a3dd-48c2-81ba-4cb138306899.pdf
2285,03/septiembre/2018,25/julio/2019,DESPOJO DE COSAS INMUEBLES O DE AGUAS,PATRICIA ALEJANDRA GUTIÉRREZ RAMÍREZ(Elabora),CONDENATORIO,CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEtW/248rYVYwvQOc0+YTypRSNY7NSL+Z7atXPf9hCpr0/54aezwwKtLHUIHItoHm2laGo9QQmh/mnBhfakcBkddXovfLBHrcqLkrbDNfKDcrS+ZC9gxG2GEUTXYwMny6kpXlWsl48KwB0qTsCUfBppYaiZhCcmTqGq+O2m+XrpscOQhsjo0RQ5q9pgu4Kg3Lraq5clwlsx+UfvH77wcjbQw=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\36662-186f671f-615f-4b16-9148-047724db30b5.pdf
