,Fecha Emisión,Fecha Publicación,Delitos-Modalidades,Juez,Sentido del Fallo,Descripción o Criterios Judiciales,Sentencia,real_url
0,18/marzo/2021,18/marzo/2021,ROBO CON VIOLENCIA,MARÍA DEL SOCORRO PÉREZ CÓRDOVA(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmncDgyaEL9EtUE8NkdRu9HhaRdE1BgbxKCzgkcOVdVHBRtnldHOXTWQoI+swi+aG8D3G7zE1fbNkDt7r5RNV1Q942VfdkOjmMJ6ZrqUM02FwlQXgCcYKkDf/LZIEm5QL0iqyZgYxMK8Cpk4Js0QUmQT1NUoK6pWQ0sgCQ/N76E7iFrinLwF4dSd4QjrVqejYRU=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\146198-1df3f763-b319-41a4-8eaf-f9a908b9904b.pdf
1,10/marzo/2021,12/marzo/2021,ATENTADOS AL PUDOR,PRIMITIVO JESÚS GUTIÉRREZ VÉLEZ(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmkP52xiKYRVCMMPzOTwNUWok5NPYevVEEVMozEa+abhnIC9Pc3gWfthemVyIStCdic9epkz/bS0xjswIcQ0X5J5crlG/jYr8qZtS0kbL4OLyXGLWgecFPp/dlcMPJ2KJOKb+FN4VgCA4K95MAGwYqU9+lA7LDUipHTYSiQ/2yPxPj+8dekEyiWZejWBYdat5Co=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\146198-83c84ac9-4ad0-4f1b-894d-e47dc9729246.pdf
2,04/marzo/2021,19/marzo/2021,LESIONES DOLOSAS CALIFICADA,GRACIELA CÁZARES CHARLES(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmm867HIZKEpSdDhFlWwqCIUUkP5cYaRfk35VDM/lZcFtybLIiqn8gwZTzJ255n8NQgQ7n47V8jELHXWJSp48fJY+oKXbfXYVvYwE2Q8EChu7k27jhmyUfoRAxxJb/BvkYvb7votbhtBRW42wXkvlyEOZrwF/SWH+xiYkPtbk28DU0JZDhOAPE2CmQ6nrjEFGKI=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\145264-32a17deb-30d2-4bf1-a660-7e95a8fe5bd9.pdf
3,26/febrero/2021,01/marzo/2021,HOMICIDIO CULPOSO,GRACIELA CÁZARES CHARLES(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmlyHHLsl7SpWTIeqQrm4dRWxPrCVw8TQ60eGZVwMimRrK5EzhAsnrDpsul94ewJefdWrUQ6DDuGBXMf/ew4LSO2F8iGTonuQ4fE622HQgj0PqMuHV+o9hQa5vvoux7Gwnn08Ux0R/JmoMHvCO2s2vt6exX9QbTdV7rrtkT9aDjs9qTJb9V8qYkv5Rqy8c0yAYg=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\144168-a48f59ca-15d3-47f0-8deb-79ecd5281859.pdf
4,24/febrero/2021,01/marzo/2021,DELITOS CONTRA LA SALUD NARCOMENUDEO,MARÍA DEL SOCORRO PÉREZ CÓRDOVA(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmkTkeNKTNxwoG0JpEbUv608RsZPxG8ucG+DLg4lq7wS5FUbRdlG6p5JGJCcBlQ0rME988K78AYMIQ4BV+RZKD2A3EqlrDO+dDFsDM9wOctfTn5VWPCXBCmhuAsc8amKPxCssFnKG8b52MdaKfUCYNTxwdHxvIBpQJgUUp68ZXdBkInTeLFdwdUHsnZu1cvyOtM=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\143566-5687221d-0369-47f7-8582-ade6ea9a9a52.pdf
5,19/febrero/2021,01/marzo/2021,DELITOS CONTRA LA SALUD NARCOMENUDEO,MARÍA DEL SOCORRO PÉREZ CÓRDOVA(Elabora),CONDENATORIO,SENTENCIA DE PROCEDIMIENTO ESPECIAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmnKbiHr/Ic9yOVMRMQ+O+uuvCzi796MlntRxPT3vvq0Xnxons2EdXj1Mfcc7NiOzozqiTKUoNb/piereIi1vHTnwImXUDKXZAVEd8rgIcP1OoTNXCxB9qGyxY1YFwpr/19v5/+PnfrW8Dbs30pNK2Vo2f148kpoOIzNc/5jEF07krnks1le44XEOwbNRoYkZ+8=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\142911-c1b1f3df-3c4d-4817-8eb4-3bd06335b738.pdf
6,18/febrero/2021,01/marzo/2021,AMENAZAS,GRACIELA CÁZARES CHARLES(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmlcj7xVxYsDC+teitwdXxHrcDP5WaOueKTqj9Mftf+ZQzinhso9x6syI94f6hkUn4cQ3zaieQkFMmZhd6lXEbPWvA6wk5Md7nMTjm2X6XPlD+N0wGL499ZuTB3GN2WHO+RZpaeTOSN0bAJVBf3nyeZ/oZsYfyjTAExDqwmPShhZEiJmBxTw3EMN6EQZL19U+Wk=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\142219-90ef2ce7-93bd-471e-97b9-dc3ef4a0e9a6.pdf
7,17/febrero/2021,01/marzo/2021,LESIONES DOLOSAS CALIFICADA,PRIMITIVO JESÚS GUTIÉRREZ VÉLEZ(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmlEhsAvYogUj3y81Sd66YHPQH7oWFOU6quJ4BDsbIr8sUGi2t/JuTKNpz+V7A24eToSLLqEDiFgYizJspAuRzwKrN8VfcsoqzMPbAQP5eu49kd1EVSyaKw+F5sjWB66FIge/feLJNjnMsCAOHYCRnbxFEvm5eIrLXnYBa5O09jcoauTXSAF3A6iY9nJtKG0r1U=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\142028-326e03f7-6e3f-43dc-8610-005985eee46d.pdf
8,12/febrero/2021,01/marzo/2021,VIOLACION SIMPLE,ÓSCAR ENRIQUE MEDINA PÉREZ(Elabora),ABSOLUTORIO,SENTENCIA ABSOLUTORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmnHdOkzFFGKwIbvYuGzC1mWPEGNLcgAhviAMzZ9O0bScrfetjYcAICJLJbyFPhMVBOaj8xBZwnx6uWaqCEarNmbH28y+QPXM78IhyFBzP0QOeJCkDpM5MvnD7hYf3u+gBu5EL5DlXuAqo6ElS1cUx+E3FGShrAqmZWwrLvuc69BAexS8l487pDOxUzVGoo/+rQ=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\141765-d56617d7-b217-4d42-9a0e-7d0c4f53ef17.pdf
9,12/febrero/2021,01/marzo/2021,"PORTACION DE ARMA DEL USO EXCLUSIVO DEL EJERCITO, ARMADA Y FUERZA AEREA",PRIMITIVO JESÚS GUTIÉRREZ VÉLEZ(Elabora),ABSOLUTORIO,SENTENCIA ABSOLUTORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmlp0Nqn2jRbhlgKxysqvyewMlmuYm/6VNxYY0OnukP5fXD18OFEFwrakRZAQZq2U9PO3Hq0je0hskAZps1QTpR4c0iegU6f3vcsRDcEfLXFkRB4X42Fa4YD1Jl6f3X+LUewUonajD56n+A54a27+swhmv4KE8R7EMYu9L/xKvMZjTLfVHlCogoiY5M9p77rYj0=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\141190-9a00463b-494b-475c-a91c-feb637dfee38.pdf
10,31/enero/2020,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora), ,CONCEDE LIBERTAD CONDICIONADA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmkdM3RMNm8TDC+VJEmJw56lAql9fGAvcdcJro14CEmQWCvi4+dBnnq75biocbReGPsOsQ5mpioab9QytvxjWh7Sd4evLRTNIZE63PSkKklqRihXK5hqmUcWvFl/eLBE7nPmtyXNILvQ5jSPTo2Z5/0gJyMIYbFTjvDCAVNEV5PdSzIB6vugqV5mo6MbkJR+9yE=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\141191-8e0af0c7-3c73-48f4-9acb-cfe821a5b27d.pdf
11,31/enero/2020,04/febrero/2020,ROBO SIMPLE,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izqBJPKco5noJYQGV9kQL1nxFlzaD3hT9Mu1PN0OvxW5ooit18nVflrSveOzt089d/eerLfzHh/Kk8DwfUnyH0sDPMzp031bgriwRFN5kA5KCs2mVGU70xRzMUJ3qqmOp17hvuFuCmLWI6CS1YS30y3R5NA2HajFareU4H4z70ZVwcwsXsgMw/VUPO6u/F4FOJs=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\99187-61e701e6-e5bc-4853-a188-f8a94958038d.pdf
12,28/enero/2020,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izrkpX3C/Y0Ofhq35od//0DByzGY379T1yE3FBtUkSFKDdp+UVNBy7FFmmKTN8vjzGxJs7HXdru3h8KPVTme3sB0PAEIsb7HGpDnWL7yvWirRWKXLX3xhK7Q0/Q9uEnQSxdxkNwsuBCrB0aUR8pCLDwRLbkNNKI9vWZFeVO7mao1ZX3/Pn5EXw0GXDNYwKx2aH8=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\99195-30482841-5c7e-4196-b67a-5514b99a80d3.pdf
13,03/enero/2020,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izpEaDHUeKw8wPFtR+YqDf8pbNG/pbvKttoycGSa2URUxVm5ay947iw3ed1pEPKZ5glIGC/gtjv+X1huo/zEoRrEKpZAcrOwBa07DxVJLI4nfDZxO6pwCdB+k0V2cxl+ZFLJ6ZzHkfrcsuGu9Z6zYvh2VJExj8Hx7C8/f7TRhFaZ7L62brlpA0Zds/3Q3dE3VMY=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\97739-a522b054-f95d-4ec5-91cc-eea2374c0bd4.pdf
14,03/enero/2020,04/febrero/2020,HOMICIDIO DOLOSO CALIFICADO,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE PRESCRIPCIÓN DE LA REPARACIÓN,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izosONHSy7i12hRvOncS2oxo3Ng0Dsmkz1n+8af+x5LN9aziVD5Jgl7OG+Uj3B4N69DOi6En2bjz+OAzPlzwCpzm3KHoIu+ixg2bF1dWdr5+qsNCJ9seHgO4q1Frbq3w9B6kJpD1qfkugzih1Gd2vmQ+ju5iaZ11c47IQBEQXd7sFKaWZ8Tiu8vQuUL8acaV83A=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93932-703c00f3-afee-4c2a-bbdf-28fb5b886156.pdf
15,31/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izoL2eh7Kby96AhbWfJw5urFYFjN2O/+TWpf+66f/arlcLAMn5655T4mfuvJ+CuH32v7MtVAZSCXioOF0who+I8FUDbH226vXM9WAd0IweK1SDU2K+BOP3DOPkVR5wajGT1wnNSRoEJrgVgw91hVtks4sBlc61diBFo6VroM2myDxMHScQvOiFjenEmtKlKVvjw=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93934-26068059-9cb5-470f-a6e2-f2b125cdc344.pdf
16,31/diciembre/2019,04/febrero/2020,VIOLACION EQUIPARADA,ANDRÉS DE LEÓN CRUZ(Elabora), ,CONCEDE LIBERTAD ANTICIPADA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izrU9xUmGRagsD+X/irSaAcRcZ9O1vQmhXxMiGVloYO+zewP8cSJm3DKEKrOA6NSS5BrclhTqHWe/lZGl7r76Ml5TxRXpZo2X5fsvWZNNMH4rDxC2eutF3zlSEp8Yl6B4e+GUnIdEx9c+mDLCYKb+8YM0oNzbo2kdcBS3TGvcCkHTulxqhnUmPzw6DhwiuqhATA=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93909-c170dae0-3806-486f-8466-fe896fc0fd1a.pdf
17,31/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izpUGfBVt+KQdvQOdFJDVL0QaDDw1tORr8HMsXJbyjYH57hXmSjmgca4kr28ePL8DRUkyJZrLAPkEEZ91twfC1rYdESHwfiOGQsiB5TvsxHhZNCey8YaISWPBM5uhdTDN89kDMfbR0eBXE0jh4XmBq8yogtseHyhuICJbJOhrZTb6/iDJIEkgJKX7y6YBQwJM8E=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93912-bd2f1bba-c1c5-41e0-b8a9-b46ca7ee38e5.pdf
18,30/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE RESTITUCION DE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izpcix4nO3UHfiRuI07c7mpVPE2kl9VjFZzHBa39CA/ZJuRtxlkil9owLTd+iV+yz5ysRKZwPl3ZSpEvz+N4ADrAjRmatvUuIAGkX1h964By/Pr6zIu3wPZeYHTrGtXvNxa/VLrow/IWBZZ8ljOvcQY2zLt90jFXqkqJ2A0PJo3nG5VrHdgEzbOET3nCbIRnQK0=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93913-58123e11-5278-4f1b-b797-71b3dca0acbb.pdf
19,30/diciembre/2019,04/febrero/2020,VIOLENCIA FAMILIAR EQUIPARADA,ANDRÉS DE LEÓN CRUZ(Elabora), ,CONCEDE LIBERTAD ANTICIPADA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izpD6iBYtwpdrbdiLAYFXpDLMljd0rdOnwFQj2YUmJk29ehXtPAiQ7qCkemjGcU6cBe23kTblKUW/O3Vr7W17+GayTnY29pgxhS43DVzRcf/9AvpIsFixqxoNU0wXPCrcZLH+VyN+1eDOXUoeU5uYbqW0sb52RuGM8loARjJ1MfBCOsqQoiwHX1dTL44/c8zO1U=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93887-98c1e9e5-50b0-4d3b-9352-4f03617b6671.pdf
20,30/diciembre/2019,04/febrero/2020,ROBO SIMPLE,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izogu+CAOYzvMdLAcIuPOZcj+qJ7wrYX5kXA3Kcamkcx/9TKc1MJJKtuG9CyW6L1EhJ0cnibVoPQYvX7shH0X8morbp8OYPObc7FgoTVeFLu4IR3z3HyvhEDCRMwi6DFrcY5MjWlsV58rCWBncT8CEWAPkjNCo3mJsxZvv0N2KJpg+iRSurb+Z4Z4HHwqxGJ7w4=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93889-b113081f-538b-4790-86a1-978533aff149.pdf
21,30/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izpcwHo4ppZXk8g3IRNqxOmyuyENShRt9XmFKdhpNlX3flcSeEdzrxXFy0J3pGR6Y1uXU+ZRJok08qC3Fv7U34u+ijbzYjNW7ABw7nwNd1BXqhHI+WhbNfS3GdeDMHI8fmhl6KblHDP2C9rBLfcJgRDLblSlZSWfE7Yllrs6lpRZT8r2sLdsna06/p8dmCei8FQ=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93889-f5b47420-a2b1-4397-a767-474cc9009726.pdf
22,30/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izqeH+0JtdAYDcYCqCSns6+HEr2fWhfVDtsqJZgRdXrG58NkqK1/qxsqVooySZg+KYJjkCWu6WIDOkZjHNt2Q+MIwaOArkfdLFF/RndqL0ftviCWh4oULLhTUYSrrYtdo4arRlIAb5OlkPxJYy2B7uJgQKVkbd4x1f7aeUFtu4xLsYOPGJgJhPOcV2Ka3RkX6yM=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93890-ba31de67-5747-4801-80d3-fc9c48f93754.pdf
23,27/diciembre/2019,04/febrero/2020,HOMICIDIO DOLOSO SIMPLE,ANDRÉS DE LEÓN CRUZ(Elabora), ,CÓMPUTO DE PENA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izrNqpOpwfTPAnyHt5Ob3YY9raZTSB7wKoQmKsibeQ91ZGgBWSp22ChPsLNVTQP3Mc5LvOSwNbixMrUJ9SCJuapE2NOHaMxOzgOHmPzG7ytV16ifD6nBT4KoXLYQAdBnnNwW3gktNosyThIlN2BIYxBo98GVi9+uqgcOBm7560zhsTki7zT7ShdDeag4x4DACnE=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93891-ac55bfbe-fee5-45f8-927a-b502e248face.pdf
24,27/diciembre/2019,04/febrero/2020,ROBO CALIFICADO,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izptI7tCD4gYrum6+dIyFAnnW61Z7P6d/huwwILiMT9xN4souNIAtAtDUj3enw/KWx8w4P3ktZITEUJeTpLMxnjDbJL25R/hQhrWH9zkkgzSAK1h08RanJah+bDhCo+q8GSHNZlNw4I+fJibWNfObHOSddw3wivXqJUWBMuQ8OKrOZHCh+YZ9AYJUrjbMY1UIdk=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93242-c93baf58-cf9c-42d5-8769-60c149e0453c.pdf
25,27/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izq7fG9Ac1CKfmBbR1ieMEvmLdo1hiTr1n/0G0vK0WyJ3ICAbzvNEEhOJVu2f5PzD/Q6IuOS0G6X44A9GwBIgKHy+cbmm9cTC+o+89h5uM8m8rXZynVQQj11rS6+XSEzNhsdmu1wqxRSYpNcUDBno6wSxYXJOAhUXIzhG/vg+9R31/1RZ6LWgcxFM9jwdi5R70M=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93852-55137e52-cc2e-4075-b7e1-91b2f9882156.pdf
26,27/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izp41ZUpiLYi70+nl0GhO+68flGODuqd+C4dKUi8VdCYSmisrKW4FczWygARPXxuwIm0QG1ljYbSWpb7KN8grkqHVvCB+34svDl8RZ8IBNkq4dNnM0FZvhOpYmql3ZBDE0xsKCyt8eX1BGpEZmzEgPzyZ2WKmunhIuCisCnHZWYFH+46X2D5JxP9Ji9gKzMq3Ss=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93853-df473698-84de-43f4-9a19-9300cbb4fc3b.pdf
27,27/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izo6pQ2xixD5dS5eL9qZdyF4wCABxPTkzfRMP9tfNQR+4zwIgF71wsRpJDylf1M1a+M6BfCfRoAN4qLFzcVRux7vuUCHG92RWCSMjJTHS5Jclo9V0Cyoe4hvY2Xjp54EVINRQJEvJzw80i66gECaK5OYssNnrQ0kGPjm2AfT5sRUepyqsWmqYsEGj0rfVn25cMc=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93854-3191acb4-3db2-4ade-865b-9597e674c22a.pdf
28,27/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izqt1apqbuFhBKr1zgCNpeCfh32ARhfCChdn9biBSzmQBBKfjeKQ/rcOCTu19dyWMDH9U1ZXso7dV0cg8lWCyG5ft95+ZX0FQWo0fIgKp4BhdRkrI6i5GE0/+VdQTA1+MGJnU0Gd8BdLgFc2qYEcOnTeDk50UeqM1aFIjA8Q02AKQHTB8+kIB7BGe6zKT3PRAxI=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93855-a7d7fcac-378e-45cf-b7af-63a78c54cf35.pdf
29,27/diciembre/2019,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE SUSTITUCIÓN DE MULTA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izrtuKhBj7mttBe2DtgkT7A3ci1oQMQTLy/YKm13m0KosBmNgxfXUQ3OWMFRVlyyH2mUSxyRwhN415f8uc+jpn/VuZ7FQsVRW/i8B5XmBK3LHq1K1t9U2GiGLRKzFfyf9JXMcM76YidKh/rqHVQiwb8jTfCNqgt2ynV2KwosErQfZB2FRqSF8+gpGB62hBAcYJY=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93856-295ea4dc-54bd-4893-a6a3-85815aaa2c58.pdf
30,24/diciembre/2019,04/febrero/2020,"DELITOS CONTRA LA SALUD NARCOMENUDEO, POSESION DE MARIHUANA Y COCAINA CON FINES DE COMERCIO",ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izp5pS4xPg35sLDYlYomiSA0JLvvMMDg11ENc/JWK7LQ2enW6BMzwPe3MSCbJFAMqGCqMKB6tFqX60b7n4YVzWwygETrJtTL+S5j6IhxJuDdbV8l1XCwXj6Axs/yVi5s40S1NdEGjuU8YlXCP/ZAPl49sK+JR8j15KcRJKE90q+VY0Khi7Tmws7S8ZJqS2WGNo0=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\93858-0decbc6e-a322-4897-bfec-ec1aea1eb56a.pdf
