Fecha Emisión,Fecha Publicación,Delitos-Modalidades,Juez,Sentido del Fallo,Descripción o Criterios Judiciales,Sentencia
18/marzo/2021,18/marzo/2021,ROBO CON VIOLENCIA,MARÍA DEL SOCORRO PÉREZ CÓRDOVA(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmncDgyaEL9EtUE8NkdRu9HhaRdE1BgbxKCzgkcOVdVHBRtnldHOXTWQoI+swi+aG8D3G7zE1fbNkDt7r5RNV1Q942VfdkOjmMJ6ZrqUM02FwlQXgCcYKkDf/LZIEm5QL0iqyZgYxMK8Cpk4Js0QUmQT1NUoK6pWQ0sgCQ/N76E7iFrinLwF4dSd4QjrVqejYRU=
10/marzo/2021,12/marzo/2021,ATENTADOS AL PUDOR,PRIMITIVO JESÚS GUTIÉRREZ VÉLEZ(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmkP52xiKYRVCMMPzOTwNUWok5NPYevVEEVMozEa+abhnIC9Pc3gWfthemVyIStCdic9epkz/bS0xjswIcQ0X5J5crlG/jYr8qZtS0kbL4OLyXGLWgecFPp/dlcMPJ2KJOKb+FN4VgCA4K95MAGwYqU9+lA7LDUipHTYSiQ/2yPxPj+8dekEyiWZejWBYdat5Co=
04/marzo/2021,19/marzo/2021,LESIONES DOLOSAS CALIFICADA,GRACIELA CÁZARES CHARLES(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmm867HIZKEpSdDhFlWwqCIUUkP5cYaRfk35VDM/lZcFtybLIiqn8gwZTzJ255n8NQgQ7n47V8jELHXWJSp48fJY+oKXbfXYVvYwE2Q8EChu7k27jhmyUfoRAxxJb/BvkYvb7votbhtBRW42wXkvlyEOZrwF/SWH+xiYkPtbk28DU0JZDhOAPE2CmQ6nrjEFGKI=
26/febrero/2021,01/marzo/2021,HOMICIDIO CULPOSO,GRACIELA CÁZARES CHARLES(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmlyHHLsl7SpWTIeqQrm4dRWxPrCVw8TQ60eGZVwMimRrK5EzhAsnrDpsul94ewJefdWrUQ6DDuGBXMf/ew4LSO2F8iGTonuQ4fE622HQgj0PqMuHV+o9hQa5vvoux7Gwnn08Ux0R/JmoMHvCO2s2vt6exX9QbTdV7rrtkT9aDjs9qTJb9V8qYkv5Rqy8c0yAYg=
24/febrero/2021,01/marzo/2021,DELITOS CONTRA LA SALUD NARCOMENUDEO,MARÍA DEL SOCORRO PÉREZ CÓRDOVA(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmkTkeNKTNxwoG0JpEbUv608RsZPxG8ucG+DLg4lq7wS5FUbRdlG6p5JGJCcBlQ0rME988K78AYMIQ4BV+RZKD2A3EqlrDO+dDFsDM9wOctfTn5VWPCXBCmhuAsc8amKPxCssFnKG8b52MdaKfUCYNTxwdHxvIBpQJgUUp68ZXdBkInTeLFdwdUHsnZu1cvyOtM=
19/febrero/2021,01/marzo/2021,DELITOS CONTRA LA SALUD NARCOMENUDEO,MARÍA DEL SOCORRO PÉREZ CÓRDOVA(Elabora),CONDENATORIO,SENTENCIA DE PROCEDIMIENTO ESPECIAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmnKbiHr/Ic9yOVMRMQ+O+uuvCzi796MlntRxPT3vvq0Xnxons2EdXj1Mfcc7NiOzozqiTKUoNb/piereIi1vHTnwImXUDKXZAVEd8rgIcP1OoTNXCxB9qGyxY1YFwpr/19v5/+PnfrW8Dbs30pNK2Vo2f148kpoOIzNc/5jEF07krnks1le44XEOwbNRoYkZ+8=
18/febrero/2021,01/marzo/2021,AMENAZAS,GRACIELA CÁZARES CHARLES(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmlcj7xVxYsDC+teitwdXxHrcDP5WaOueKTqj9Mftf+ZQzinhso9x6syI94f6hkUn4cQ3zaieQkFMmZhd6lXEbPWvA6wk5Md7nMTjm2X6XPlD+N0wGL499ZuTB3GN2WHO+RZpaeTOSN0bAJVBf3nyeZ/oZsYfyjTAExDqwmPShhZEiJmBxTw3EMN6EQZL19U+Wk=
17/febrero/2021,01/marzo/2021,LESIONES DOLOSAS CALIFICADA,PRIMITIVO JESÚS GUTIÉRREZ VÉLEZ(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmlEhsAvYogUj3y81Sd66YHPQH7oWFOU6quJ4BDsbIr8sUGi2t/JuTKNpz+V7A24eToSLLqEDiFgYizJspAuRzwKrN8VfcsoqzMPbAQP5eu49kd1EVSyaKw+F5sjWB66FIge/feLJNjnMsCAOHYCRnbxFEvm5eIrLXnYBa5O09jcoauTXSAF3A6iY9nJtKG0r1U=
12/febrero/2021,01/marzo/2021,VIOLACION SIMPLE,ÓSCAR ENRIQUE MEDINA PÉREZ(Elabora),ABSOLUTORIO,SENTENCIA ABSOLUTORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmnHdOkzFFGKwIbvYuGzC1mWPEGNLcgAhviAMzZ9O0bScrfetjYcAICJLJbyFPhMVBOaj8xBZwnx6uWaqCEarNmbH28y+QPXM78IhyFBzP0QOeJCkDpM5MvnD7hYf3u+gBu5EL5DlXuAqo6ElS1cUx+E3FGShrAqmZWwrLvuc69BAexS8l487pDOxUzVGoo/+rQ=
12/febrero/2021,01/marzo/2021,"PORTACION DE ARMA DEL USO EXCLUSIVO DEL EJERCITO, ARMADA Y FUERZA AEREA",PRIMITIVO JESÚS GUTIÉRREZ VÉLEZ(Elabora),ABSOLUTORIO,SENTENCIA ABSOLUTORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmlp0Nqn2jRbhlgKxysqvyewMlmuYm/6VNxYY0OnukP5fXD18OFEFwrakRZAQZq2U9PO3Hq0je0hskAZps1QTpR4c0iegU6f3vcsRDcEfLXFkRB4X42Fa4YD1Jl6f3X+LUewUonajD56n+A54a27+swhmv4KE8R7EMYu9L/xKvMZjTLfVHlCogoiY5M9p77rYj0=
31/enero/2020,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora), ,CONCEDE LIBERTAD CONDICIONADA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmkdM3RMNm8TDC+VJEmJw56lAql9fGAvcdcJro14CEmQWCvi4+dBnnq75biocbReGPsOsQ5mpioab9QytvxjWh7Sd4evLRTNIZE63PSkKklqRihXK5hqmUcWvFl/eLBE7nPmtyXNILvQ5jSPTo2Z5/0gJyMIYbFTjvDCAVNEV5PdSzIB6vugqV5mo6MbkJR+9yE=
31/enero/2020,04/febrero/2020,ROBO SIMPLE,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izqBJPKco5noJYQGV9kQL1nxFlzaD3hT9Mu1PN0OvxW5ooit18nVflrSveOzt089d/eerLfzHh/Kk8DwfUnyH0sDPMzp031bgriwRFN5kA5KCs2mVGU70xRzMUJ3qqmOp17hvuFuCmLWI6CS1YS30y3R5NA2HajFareU4H4z70ZVwcwsXsgMw/VUPO6u/F4FOJs=
28/enero/2020,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA CONDICIONAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izrkpX3C/Y0Ofhq35od//0DByzGY379T1yE3FBtUkSFKDdp+UVNBy7FFmmKTN8vjzGxJs7HXdru3h8KPVTme3sB0PAEIsb7HGpDnWL7yvWirRWKXLX3xhK7Q0/Q9uEnQSxdxkNwsuBCrB0aUR8pCLDwRLbkNNKI9vWZFeVO7mao1ZX3/Pn5EXw0GXDNYwKx2aH8=
03/enero/2020,04/febrero/2020,ROBO CON VIOLENCIA,ANDRÉS DE LEÓN CRUZ(Elabora),CONDENATORIO,CONCEDE CONDENA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEvjuqsaKQIUdq3PnwmA6izpEaDHUeKw8wPFtR+YqDf8pbNG/pbvKttoycGSa2URUxVm5ay947iw3ed1pEPKZ5glIGC/gtjv+X1huo/zEoRrEKpZAcrOwBa07DxVJLI4nfDZxO6pwCdB+k0V2cxl+ZFLJ6ZzHkfrcsuGu9Z6zYvh2VJExj8Hx7C8/f7TRhFaZ7L62brlpA0Zds/3Q3dE3VMY=
